track_id,rmd_zone_name,trigger_count,object_class,weekday,date,time,duration,enter_direction,enter_azimuth,exit_direction,exit_azimuth,min_speed,avg_speed,max_speed,speed_delta,alarm
3240,Scenario 1,44,Vehicle,Thu,2024-05-09,17:38:24.353806,5.26,approaching,172,approaching,202,34.20,52.20,54.00,-17.10,1
3262,Scenario 1,45,Vehicle,Thu,2024-05-09,17:38:29.516262,4.20,departing,351,departing,349,50.40,50.40,52.20,1.80,1
3265,Scenario 1,45,Vehicle,Thu,2024-05-09,17:38:30.823388,9.02,departing,353,departing,352,41.40,46.80,49.50,1.80,1
3288,Scenario 1,45,Vehicle,Thu,2024-05-09,17:38:37.324926,6.82,approaching,173,approaching,193,46.80,55.80,59.40,-8.10,1
3290,Scenario 1,45,Vehicle,Thu,2024-05-09,17:38:38.541191,9.95,departing,2,departing,355,43.20,47.70,49.50,5.40,1
3319,Scenario 1,46,Vehicle,Thu,2024-05-09,17:38:49.907571,8.72,departing,6,departing,353,37.80,43.20,45.00,5.40,1
3332,Scenario 1,46,Vehicle,Thu,2024-05-09,17:38:52.119853,7.21,departing,359,departing,352,42.30,45.00,46.80,1.80,1
3354,Scenario 1,46,Vehicle,Thu,2024-05-09,17:38:56.316094,5.62,approaching,173,approaching,193,42.30,56.70,57.60,-13.50,1
3358,Scenario 1,46,Vehicle,Thu,2024-05-09,17:38:57.633089,11.61,departing,5,departing,353,38.70,42.30,44.10,2.70,1
3371,Scenario 1,46,Vehicle,Thu,2024-05-09,17:39:00.633734,0.50,departing,357,departing,353,45.00,45.90,45.90,0.90,0
3375,Scenario 1,46,Vehicle,Thu,2024-05-09,17:39:00.940253,2.00,departing,355,departing,349,41.40,41.40,42.30,-0.90,0
3380,Scenario 1,47,Vehicle,Thu,2024-05-09,17:39:01.341916,10.46,departing,11,departing,354,36.90,45.90,48.60,2.70,1
3425,Scenario 1,47,Vehicle,Thu,2024-05-09,17:39:09.950393,8.66,departing,6,departing,348,33.30,36.90,40.50,1.80,1
3424,Scenario 1,47,Vehicle,Thu,2024-05-09,17:39:10.400370,6.72,approaching,179,approaching,177,45.90,47.70,52.20,1.80,1
3445,Scenario 1,47,Vehicle,Thu,2024-05-09,17:39:12.606125,12.12,departing,5,departing,7,12.60,30.60,41.40,-21.60,1
3468,Scenario 1,47,Vehicle,Thu,2024-05-09,17:39:16.620386,10.82,departing,2,departing,349,39.60,44.10,45.00,5.40,1
3424,Scenario 1,47,Vehicle,Thu,2024-05-09,17:39:17.319753,0.10,approaching,215,approaching,215,31.50,31.50,31.50,0.00,0
3499,Scenario 1,47,Vehicle,Thu,2024-05-09,17:39:23.119947,10.33,approaching,170,approaching,205,34.20,44.10,45.00,-9.00,1
3503,Scenario 1,47,Vehicle,Thu,2024-05-09,17:39:27.546166,4.00,departing,8,departing,359,36.90,45.00,47.70,8.10,1
3524,Scenario 1,48,Vehicle,Thu,2024-05-09,17:39:33.048193,5.05,departing,360,departing,352,45.00,45.00,45.90,0.00,1
